feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
9287,16,CWE-327,0.1633,0.2357,0.1118,0.1214,0.3571,0.3732,True,cyber_dev
21851,16,CWE-327,0.1633,0.0357,0.3546,0.0357,0.0357,0.0,True,cyber_dev
26704,16,CWE-327,0.1625,0.1071,0.2456,0.1071,0.1429,0.195,True,cyber_dev
22911,16,CWE-327,0.162,0.0929,0.2656,0.0929,0.1429,0.1782,True,cyber_dev
27127,16,CWE-327,0.1613,0.0357,0.3498,0.0357,0.0357,0.0053,True,cyber_dev
6093,16,CWE-327,0.1577,0.2,0.162,0.0643,0.5714,0.5453,True,cyber_dev
11031,16,CWE-327,0.1567,0.0357,0.3418,0.0286,0.0357,0.0053,True,cyber_dev
27435,16,CWE-327,0.1562,0.1071,0.2334,0.1,0.1071,0.032,True,cyber_dev
24686,16,CWE-327,0.1561,0.0929,0.2509,0.0929,0.1429,0.1782,True,cyber_dev
14739,16,CWE-327,0.1539,0.1143,0.2169,0.1071,0.1786,0.2338,True,cyber_dev
30478,16,CWE-327,0.1527,0.1,0.2317,0.1,0.1429,0.1805,True,cyber_dev
20409,16,CWE-327,0.1526,0.0714,0.2744,0.0714,0.0714,0.0053,True,cyber_dev
19154,16,CWE-327,0.1507,0.0714,0.2695,0.0714,0.0714,0.0069,True,cyber_dev
2246,16,CWE-327,0.15,0.0357,0.3214,0.0357,0.0357,0.0023,False,cyber_dev
26810,16,CWE-327,0.1498,0.0929,0.2351,0.0929,0.1429,0.1797,False,cyber_dev
20918,16,CWE-327,0.1494,0.0929,0.2342,0.0929,0.1429,0.1782,False,cyber_dev
1381,16,CWE-327,0.1489,0.0929,0.233,0.0929,0.1429,0.1782,False,cyber_dev
13382,16,CWE-327,0.1488,0.0929,0.2328,0.0929,0.1429,0.1805,False,cyber_dev
10492,16,CWE-327,0.1478,0.0929,0.2302,0.0929,0.1429,0.1813,False,cyber_dev
15693,16,CWE-327,0.1475,0.1,0.2188,0.1,0.1429,0.1904,False,cyber_dev
23573,16,CWE-327,0.1472,0.0643,0.2716,0.0643,0.0714,0.0183,False,cyber_dev
27348,16,CWE-327,0.1467,0.0714,0.2597,0.0714,0.0714,0.0023,False,cyber_dev
23811,16,CWE-327,0.1457,0.0929,0.2249,0.0929,0.1429,0.1782,False,cyber_dev
11595,16,CWE-327,0.1455,0.0714,0.2566,0.0714,0.0,0.0472,False,cyber_dev
11782,16,CWE-327,0.1453,0.0929,0.2239,0.0929,0.1429,0.1782,False,cyber_dev
19441,16,CWE-327,0.1445,0.0643,0.2648,0.0643,0.0714,0.0175,False,cyber_dev
4325,16,CWE-327,0.1431,0.0929,0.2185,0.0929,0.1429,0.179,False,cyber_dev
4025,16,CWE-327,0.1429,0.0714,0.25,0.0714,0.0714,0.0069,False,cyber_dev
17868,16,CWE-327,0.1428,0.0929,0.2178,0.0929,0.1429,0.1782,False,cyber_dev
5834,16,CWE-327,0.1417,0.0929,0.215,0.0929,0.1429,0.1782,False,cyber_dev
10758,16,CWE-327,0.1415,0.15,0.1465,0.1143,0.1786,0.1173,False,cyber_dev
3690,16,CWE-327,0.1406,0.0357,0.2979,0.0357,0.0357,0.0008,False,cyber_dev
7724,16,CWE-327,0.1399,0.0929,0.2104,0.0929,0.1429,0.1782,False,cyber_dev
30544,16,CWE-327,0.1395,0.1143,0.1881,0.0929,0.1429,0.051,False,cyber_dev
